iris_code,rf_score
920510307,81.6
920510308,83.3
920510401,74.4
920510402,42.6
751093304,91.9
920510404,80.6
920510405,43.2
920510407,83.9
920510408,62.9
920510409,54.3
920510410,85.1
920510411,60.6
920620303,78.1
920620304,76.5
920620305,85.7
920620306,80.0
751114103,89.0
920620401,84.7
940180110,85.5
920630102,48.8
920630103,54.2
920630106,61.4
930510502,68.6
751114109,80.4
751114306,96.0
930610105,56.5
930610106,82.8
930610107,94.5
940580112,66.1
940580113,55.1
920440124,76.6
940590101,35.6
940590103,24.8
940590104,35.1
751114312,91.3
751124705,90.6
940790101,62.8
940790102,44.2
940790103,61.3
940790104,57.8
751124807,97.4
751135116,88.2
950180401,56.6
950180403,27.7
950180404,58.5
950180405,38.0
950180501,10.5
950180503,29.0
950180504,57.5
940790105,67.6
940680101,66.8
751155902,82.4
751155910,84.0
751156007,77.3
751166111,81.2
751186918,67.4
940680102,63.5
940680105,61.2
940680106,65.6
940680107,48.5
940680108,44.3
940680202,61.4
751197508,88.2
751197605,86.9
751207712,93.9
751208022,97.1
940680203,72.6
940680301,61.6
940680302,70.6
920630704,62.8
920630705,60.5
920630706,64.3
920630707,74.7
920630801,66.5
930720104,22.9
920630803,72.0
920630804,68.6
930290604,77.7
770580105,16.8
930290701,72.8
930290702,73.8
930290703,74.1
930290704,55.6
930290801,70.5
930290803,47.1
940540104,18.8
930550601,76.4
930550602,85.5
930550603,85.6
930550701,83.7
930550801,71.2
930550802,86.9
751020601,97.8
920260103,69.5
771860102,45.9
915490106,44.5
915490107,28.7
915490108,44.1
915490110,27.6
940410108,80.4
940410109,77.6
940410201,76.2
940410202,74.1
940410203,84.1
940410204,79.3
940410205,80.5
920500301,65.1
772880201,18.7
751030904,89.0
751052004,96.7
940420108,44.4
940430101,80.7
940430102,52.1
940430103,73.4
940430104,72.0
940430105,47.2
940430106,48.5
940160102,57.9
940440106,60.5
940440107,16.7
930710111,10.5
930710112,20.1
751208012,97.1
930710113,30.1
930710114,31.9
920630201,33.5
920630202,65.9
920630301,34.9
920220105,56.7
751135031,86.7
920630501,63.0
920630502,40.4
920630503,22.2
920630805,36.6
920640101,63.2
920640102,75.1
920640105,57.3
920640106,70.2
751145503,88.2
751145506,82.6
772490102,9.4
780150104,38.5
751103704,93.6
751062304,87.4
751103705,93.2
920750108,72.6
751062306,90.9
920760101,16.4
920760103,42.4
953230104,30.6
920760104,54.3
785450105,56.2
785450106,57.0
785510109,51.2
940740102,47.4
940740103,28.0
940740104,36.1
751072504,77.2
751072505,71.3
955850112,27.0
940740108,67.3
940750101,44.5
952880103,44.6
930720106,34.0
930790104,57.1
940760116,44.2
940030101,74.5
940030102,81.1
940030103,72.9
940030104,71.0
940030105,67.0
940030106,73.5
940760121,70.8
940770101,61.4
940770102,54.3
940770103,53.1
940770104,36.5
940770105,31.4
751072701,55.0
913770109,71.0
913770113,74.9
751124611,80.7
751124612,94.8
751124614,90.9
751124615,85.3
751072801,78.8
940680201,73.0
751031201,93.9
751031202,94.0
952290103,28.0
915700107,29.9
940760105,64.6
940760106,39.4
940580104,54.3
940760108,72.1
940760110,59.9
940760111,48.4
940760113,67.4
940760114,56.5
940760115,53.1
940180108,78.7
940180109,81.0
770790101,49.1
751072809,71.7
955820108,59.4
751072810,82.6
915890114,39.0
751072811,50.9
915890115,32.0
915890116,43.5
920250306,44.9
773370201,71.3
920020204,30.4
914790101,45.7
920040103,81.3
920040104,69.7
920040201,62.2
920040203,56.7
920040301,81.3
920040303,69.1
920040304,79.5
920040401,75.3
751197603,91.6
751197604,90.4
920040501,72.9
920040502,77.0
920040503,50.7
920040602,40.7
920040603,70.9
920040604,80.0
920040701,60.7
920040702,60.6
920040707,73.6
920070101,78.9
751197609,94.1
751197610,48.0
751197611,93.6
751197613,84.4
920070102,50.4
930720116,30.3
751041401,95.4
751041402,94.8
771310102,20.7
940550101,52.0
930720117,67.8
771310202,44.3
930660401,20.7
930730202,41.3
920510403,55.7
930730301,48.5
930730302,29.5
751010202,94.1
920070105,40.9
920070107,72.1
751083202,94.3
920070108,66.0
920070109,62.2
751083204,91.8
920070110,45.2
920070111,63.1
920070113,54.9
751041501,95.2
751083207,94.9
751041502,93.5
751114309,90.5
771390102,57.8
930710106,9.3
920070114,46.9
955980107,57.2
956070106,44.8
751093307,93.8
956070107,62.7
751145602,45.1
751093308,95.2
751093309,94.3
920750103,81.3
773330101,63.6
920120706,72.6
920140101,34.3
920140102,43.0
930660704,76.9
771220201,49.8
913450102,54.4
940810112,71.8
920500408,73.0
930100101,42.3
930100102,27.5
930100103,29.5
930100104,13.8
930100105,56.1
930100106,41.7
751041503,96.5
920400501,79.1
920400504,84.0
920400505,78.0
920400601,81.5
751145310,92.1
920630105,58.8
920400701,85.2
920440103,86.0
920440104,86.2
920440106,84.4
920440107,83.1
770790103,36.3
771520301,44.4
771520303,10.5
920440108,61.2
920440109,91.7
920440115,87.6
920440121,82.5
751041601,92.6
920440123,82.7
920460102,70.3
920460103,82.1
920460104,42.4
920460105,78.4
920460106,65.8
920460107,73.9
751103702,92.9
920460110,73.4
940190101,40.6
920460111,70.2
930100204,50.7
920320103,40.7
930100304,21.2
930100305,29.1
920490110,79.1
930100401,20.7
930100402,20.8
930100403,15.4
930100404,45.0
930100405,27.3
940220110,57.6
940220204,58.7
952100401,76.5
940680502,53.7
953230107,39.7
751103802,92.9
940680503,51.7
940680505,50.9
940680603,58.0
940680701,53.1
940680702,48.1
940680703,46.0
940680704,46.7
940680801,73.9
930640111,38.9
751051801,84.5
751103907,93.8
914210102,66.0
914210103,40.3
914210104,61.5
914210107,79.9
930290401,54.7
930290501,60.1
930290503,75.0
930290601,75.8
780050107,34.1
770140101,14.2
770140102,42.5
751010301,92.9
770140103,45.3
781460104,41.6
751104001,96.2
781580108,41.5
780150101,44.1
914210108,38.9
783580106,48.8
783580107,29.2
783580108,28.7
783620106,36.4
783620107,43.6
916870112,21.8
751051805,87.2
751051806,87.3
751104009,93.5
781720112,60.6
920490112,76.9
930460116,51.7
916910102,52.3
751104010,94.1
771080102,51.0
916910103,55.1
912280201,16.8
916870109,24.4
916910105,50.0
751051808,90.6
920250304,46.6
912280202,30.5
912280203,17.8
920250305,58.8
920250401,64.8
920250402,54.9
930100303,40.1
751114105,95.9
772880401,38.7
912280117,60.6
751114106,96.6
912280118,48.2
920250403,51.5
912010110,37.5
912010111,78.1
912150101,13.2
912150102,9.5
751051902,92.5
751051903,77.5
783110102,74.1
783960102,30.3
783960103,73.7
920320101,65.2
920320102,56.7
920320104,49.9
920320107,48.4
920500805,28.8
920320109,60.3
920500103,67.3
920500203,56.2
920500204,55.2
920500206,68.2
920500403,59.4
784230108,35.6
784230109,42.0
784230111,42.4
784230112,26.1
784230113,19.7
784230114,39.9
920500406,59.1
783620102,55.6
930130102,41.2
930130103,42.3
930130104,63.5
940550103,25.1
955820109,75.6
920440125,86.9
930130105,42.8
930130106,70.6
930130107,57.1
784810108,55.7
751114202,97.8
772430302,54.4
751114203,94.8
751114205,96.2
784860101,66.6
953060108,53.3
772430201,58.3
772430301,35.8
930290602,67.9
751114208,86.0
930140103,45.3
955820110,83.2
780050109,45.8
930140108,64.2
930140110,43.0
930140111,17.8
930140112,36.0
953060109,48.0
930140113,26.0
930290901,71.7
930270111,30.0
930270113,51.7
751145622,92.3
930270114,52.8
930310201,61.6
920040202,77.7
930310202,67.8
930310301,63.7
930310302,51.7
784810101,57.9
930310303,55.6
930310304,50.4
930310401,21.3
930310402,53.3
930310403,52.5
951270101,40.4
930310404,24.9
930310405,30.8
930310501,51.3
930320101,24.7
930320102,26.4
930320103,43.9
751166118,77.9
930320104,29.6
920730105,69.7
951270102,28.9
751208009,80.3
951270103,34.9
951270104,36.5
751208015,93.6
751208016,93.6
951270105,36.2
772430303,33.9
954240201,31.5
930320116,16.5
772430103,61.8
953230102,35.7
930320117,60.8
751062301,86.7
920490115,83.3
940780208,42.4
751062303,94.6
751062305,92.1
772940103,67.9
930330101,53.3
953230103,16.5
930330102,33.8
930390101,80.4
930390103,78.2
930450101,80.3
930450102,49.7
930450103,85.7
930450107,75.9
751114320,96.5
751114321,97.0
751135029,90.3
751114401,97.5
751114402,97.2
930660705,44.1
751062311,84.7
785750103,55.6
770830101,68.0
930550301,89.0
953510101,55.5
930550401,72.8
930550402,80.3
930550501,43.1
930550502,81.2
751114407,95.2
952180104,29.4
940430107,78.9
955550107,37.1
751114409,97.1
786210104,11.1
786210108,23.1
772840504,15.8
772840602,8.1
772840603,31.2
772840701,43.7
772840702,37.7
772840901,69.6
772840902,60.9
751072506,83.3
